"wave.count","wave.names","wavelengths"
"1","wave.384","383.765503"
"2","wave.389","388.773285"
"3","wave.394","393.781189"
"4","wave.399","398.789001"
"5","wave.404","403.796814"
"6","wave.409","408.804688"
"7","wave.414","413.8125"
"8","wave.419","418.820404"
"9","wave.424","423.828186"
"10","wave.429","428.835999"
"11","wave.434","433.843903"
"12","wave.439","438.851715"
"13","wave.444","443.859589"
"14","wave.449","448.867401"
"15","wave.454","453.875214"
"16","wave.459","458.883087"
"17","wave.464","463.8909"
"18","wave.469","468.898712"
"19","wave.474","473.906586"
"20","wave.479","478.914398"
"21","wave.484","483.922302"
"22","wave.489","488.930115"
"23","wave.494","493.937897"
"24","wave.499","498.945801"
"25","wave.504","503.953613"
"26","wave.509","508.961487"
"27","wave.514","513.969299"
"28","wave.519","518.977112"
"29","wave.524","523.984985"
"30","wave.529","528.992798"
"31","wave.534","534.00061"
"32","wave.539","539.008484"
"33","wave.544","544.016296"
"34","wave.549","549.02417"
"35","wave.554","554.031982"
"36","wave.559","559.039795"
"37","wave.564","564.047729"
"38","wave.569","569.055481"
"39","wave.574","574.063416"
"40","wave.579","579.071228"
"41","wave.584","584.078979"
"42","wave.589","589.086914"
"43","wave.594","594.094727"
"44","wave.599","599.1026"
"45","wave.604","604.110413"
"46","wave.609","609.118225"
"47","wave.614","614.126099"
"48","wave.619","619.133911"
"49","wave.624","624.141724"
"50","wave.629","629.149597"
"51","wave.634","634.15741"
"52","wave.639","639.165283"
"53","wave.644","644.173096"
"54","wave.649","649.180908"
"55","wave.654","654.188782"
"56","wave.659","659.196594"
"57","wave.664","664.204529"
"58","wave.669","669.21228"
"59","wave.674","674.220093"
"60","wave.679","679.228027"
"61","wave.684","684.235779"
"62","wave.689","689.243591"
"63","wave.694","694.251526"
"64","wave.699","699.259277"
"65","wave.704","704.267212"
"66","wave.709","709.275024"
"67","wave.714","714.282776"
"68","wave.719","719.29071"
"69","wave.724","724.298523"
"70","wave.729","729.306396"
"71","wave.734","734.314209"
