plotID,siteID,diversity_shannon,MPD_phy_abundance,MPD_func_abundance,convexHull,sumSquares_sum,variance_sum,pc1_mean,pc1_sd,pc1_max,pc1_min,pc1_range,pc2_mean,pc2_sd,pc2_max,pc2_min,pc2_range,coefVariantion,NDVI_mean,NDVI_sd,NDVI_max,NDVI_min,NDVI_range,PRI_mean,PRI_sd,PRI_max,PRI_min,PRI_range,RVSI_mean,RVSI_sd,RVSI_max,RVSI_min,RVSI_range,reNDVI_mean,reNDVI_sd,reNDVI_max,reNDVI_min,reNDVI_range,SWIR1_mean,SWIR1_sd,SWIR1_max,SWIR1_min,SWIR1_range,SWIR2_mean,SWIR2_sd,SWIR2_max,SWIR2_min,SWIR2_range,NIR_mean,NIR_sd,NIR_max,NIR_min,NIR_range,chm_mean,empty_volume_mean,euphotic_depth_mean,euphotic_tla_mean,euphotic_volume_mean,filled_voxel_ratio_mean,lai_mean,max_lad_mean,max_lad_height_mean,mean_lad_height_mean,oligophotic_tla_mean,oligophotic_volume_mean,porosity_ratio_mean,quantile_10_mean,quantile_25_mean,quantile_50_mean,quantile_75_mean,quantile_90_mean,sd_lad_column_mean,toc_rugosity_mean,within_canopy_rugosity_mean,chm_sd,empty_volume_sd,euphotic_depth_sd,euphotic_tla_sd,euphotic_volume_sd,filled_voxel_ratio_sd,lai_sd,max_lad_sd,max_lad_height_sd,mean_lad_height_sd,oligophotic_tla_sd,oligophotic_volume_sd,porosity_ratio_sd,quantile_10_sd,quantile_25_sd,quantile_50_sd,quantile_75_sd,quantile_90_sd,sd_lad_column_sd,toc_rugosity_sd,within_canopy_rugosity_sd,chm_max,empty_volume_max,euphotic_depth_max,euphotic_tla_max,euphotic_volume_max,filled_voxel_ratio_max,lai_max,max_lad_max,max_lad_height_max,mean_lad_height_max,oligophotic_tla_max,oligophotic_volume_max,porosity_ratio_max,quantile_10_max,quantile_25_max,quantile_50_max,quantile_75_max,quantile_90_max,sd_lad_column_max,toc_rugosity_max,within_canopy_rugosity_max,chm_min,empty_volume_min,euphotic_depth_min,euphotic_tla_min,euphotic_volume_min,filled_voxel_ratio_min,lai_min,max_lad_min,max_lad_height_min,mean_lad_height_min,oligophotic_tla_min,oligophotic_volume_min,porosity_ratio_min,quantile_10_min,quantile_25_min,quantile_50_min,quantile_75_min,quantile_90_min,sd_lad_column_min,toc_rugosity_min,within_canopy_rugosity_min,chm_range,empty_volume_range,euphotic_depth_range,euphotic_tla_range,euphotic_volume_range,filled_voxel_ratio_range,lai_range,max_lad_range,max_lad_height_range,mean_lad_height_range,oligophotic_tla_range,oligophotic_volume_range,porosity_ratio_range,quantile_10_range,quantile_25_range,quantile_50_range,quantile_75_range,quantile_90_range,sd_lad_column_range,toc_rugosity_range,within_canopy_rugosity_range,latitude,longitude,dsm_mean,dtm_mean,eastness_mean,northness_mean,slope_mean,tpi_mean,tri_mean,dsm_sd,dtm_sd,eastness_sd,northness_sd,slope_sd,tpi_sd,tri_sd,dsm_max,dtm_max,eastness_max,northness_max,slope_max,tpi_max,tri_max,dsm_min,dtm_min,eastness_min,northness_min,slope_min,tpi_min,tri_min,dsm_range,dtm_range,eastness_range,northness_range,slope_range,tpi_range,tri_range,HARV,MLBS,ORNL,SERC,TALL
HARV_033,HARV,1.349969133,372.4510919,0.114358003,0.018466787,0.851927714,0.109940338,0.011617438,0.002742144,0.0202,0.0024,0.0178,-0.860933031,0.331561184,-0.096962594,-2.016963361,1.920000767,0.412990848,0.935635929,0.023615002,1,0.796338673,0.203661327,0.018084933,0.040388375,1,-0.072164948,1.072164948,0.000136938,0.00203963,0.00755,-0.00675,0.0143,0.658164028,0.040986765,0.818791946,0.524731183,0.294060764,0.075778295,0.01911347,0.121078333,0.013906667,0.107171667,0.023435129,0.005355339,0.039481013,0.004467089,0.035013924,0.19892519,0.047534038,0.307721818,0.035065455,0.272656364,29.00875032,706.25,8.5625,1.884300016,856.25,0.721512496,2.898911968,0.516501885,22.6875,16.0625,1.014612496,1693.75,0.278487497,3.78125,6.96875,13.375,19.40625,23.0625,0.143406251,1641.625015,0.028947776,1.297540511,271.9528145,2.032035105,0.319377581,203.2035105,0.111201833,0.49136264,0.143839081,5.108408102,1.436140662,0.171979277,184.2778699,0.111201833,1.437228235,0.865423788,0.846561673,0.986893274,0.981070844,0.032495199,734.4227091,0.007896492,31.51000023,1300,11,2.48029995,1100,0.884599984,3.815835714,0.917748392,28,18,1.335500002,2100,0.5,6.5,9,15,21,25,0.221000001,2795,0.041991122,26.44000053,300,4,1.350900054,400,0.5,2.078326702,0.304653645,8,13,0.727400005,1300,0.115400001,2,5.5,11.5,18,21,0.090099998,0,0.017749092,5.069999695,1000,7,1.129399896,700,0.384599984,1.737509012,0.613094747,20,5,0.608099997,800,0.384599999,4.5,3.5,3.5,3,4,0.130900003,2795,0.02424203,42.53831,-72.175606,379.1650009,350.15625,-0.315071349,-0.157538143,7.104246363,-0.065834554,1.037001038,1.873880408,1.516265399,0.642479702,0.722167372,2.300450068,0.520724039,0.334588377,383.7099915,352.2000122,0.799757957,0.997849286,11.68740177,0.744995117,1.623756409,376.0499878,347.2999878,-0.992709517,-0.905282855,3.767795801,-1.313751221,0.544994354,7.660003662,4.900024414,1.792467475,1.903132141,7.91960597,2.058746338,1.078762054,1,0,0,0,0
HARV_034,HARV,1.212695087,167.8336374,0.075064215,0.079026715,0.716163648,0.1791415,0.022009443,0.00850483,0.06725,0.004,0.06325,-0.732555646,0.423165651,1.039177502,-1.815727088,2.854904589,0.407507653,0.859348217,0.068983652,1,0.521690768,0.478309232,-7.14E-05,0.027335574,0.217391304,-0.047619048,0.265010352,-0.004773718,0.003404632,0.0025,-0.023925,0.026425,0.546059173,0.064908758,0.774487472,0.304443225,0.470044246,0.094015162,0.029393471,0.20982,0.024953333,0.184866667,0.037291231,0.01339596,0.098078481,0.00735443,0.090724051,0.203501808,0.054980147,0.442241364,0.059823636,0.382417727,29.7412498,150,21.3125,2.123331249,2131.25,0.943356246,3.266666986,0.567801066,7.125,8.625,1.143325016,506.25,0.05664375,3.71875,7.125,13.6875,20.21875,23.65625,0.1497,1191.124973,0.054132787,0.578398611,167.3320053,1.740450133,0.703101645,174.0450133,0.062674734,1.0816848,0.26919041,2.217355783,1.892969449,0.378595661,161.1159003,0.062674738,0.363719214,0.288675135,0.543905629,0.363719214,0.539096466,0.067332169,295.6183434,0.026142407,31.14999962,600,24,3.463999987,2400,1,5.32928133,1.269726872,11,12,1.865300059,800,0.222200006,4,8,14.5,21,25,0.325199991,1688.999756,0.101658851,29.13999939,0,19,1.251299977,1900,0.777800024,1.925147414,0.289417744,5,6,0.673799992,200,0,3,7,12.5,20,23,0.074100003,738.999939,0.023223588,2.010000229,600,5,2.212700009,500,0.222199976,3.404133916,0.980309129,6,6,1.191500068,600,0.222200006,1,1,2,1,2,0.251099989,949.9998169,0.078435263,42.535693,-72.177962,396.730629,366.9893742,0.098226174,0.076171546,1.552269578,0.010860443,0.297891378,0.62308367,0.324725995,0.751462025,0.696771828,0.726496757,0.231530448,0.110815525,397.9200134,367.6300049,0.991084993,0.986698806,2.824364901,0.599975586,0.599998474,395.5400085,366.3999939,-0.937151849,-0.999507725,0.121995635,-0.2762146,0.122505188,2.380004883,1.230010986,1.928236842,1.986206532,2.702369265,0.876190186,0.477493286,1,0,0,0,0
HARV_035,HARV,1.339385626,118.0118379,0.073904578,0.033960445,0.56145459,0.111642774,0.015256137,0.00345556,0.0329,0.0045,0.0284,-0.670319635,0.334112007,0.139673438,-1.73668338,1.876356818,0.467897331,0.922107148,0.033778714,0.992932862,0.484978541,0.507954321,-0.003107037,0.020455683,0.096774194,-0.091007584,0.187781778,-0.005923795,0.002641898,0.0022,-0.014375,0.016575,0.582748277,0.048567252,0.708245243,0.307936508,0.400308735,0.089256742,0.019872155,0.1382925,0.030023333,0.108269167,0.029119261,0.006457815,0.048894937,0.009720253,0.039174684,0.221993106,0.047679957,0.327446364,0.068742727,0.258703636,21.11124992,312.5,8.1875,2.238843769,818.75,0.8260625,3.444404379,0.625204692,14.8125,9.875,1.205549996,937.5,0.1739375,2.6875,4.625,9.25,13.46875,15.6875,0.193293748,2710.562515,0.048725087,1.169631727,185.7417562,1.108677891,0.438082064,110.8677891,0.094065538,0.673968231,0.168019985,2.737851956,0.957427108,0.23587666,125.8305739,0.094065536,0.543905629,0.695221787,0.632455532,1.07189474,1.123610253,0.054759578,1109.161486,0.011944715,23.21999931,700,10,2.986900091,1000,0.941200018,4.59524107,0.964265466,19,11,1.608299971,1100,0.368400007,3.5,5,10.5,15,18,0.328500003,5159.000488,0.070308417,18.56999969,100,6,1.267400026,600,0.631600022,1.949897051,0.278909743,9,8,0.682500005,700,0.058800001,2,3,8,11.5,14,0.086999997,1256,0.031453662,4.649999619,600,4,1.719500065,400,0.309599996,2.645344019,0.685355723,10,3,0.925799966,400,0.309600007,1.5,2,2.5,3.5,4,0.241500005,3903.000488,0.038854755,42.539971,-72.178087,382.1849995,361.0737553,-0.066275455,0.215643447,2.268214796,0.166101456,0.367344141,1.031723423,0.374858511,0.824378127,0.576870763,1.359815617,0.171319138,0.147789654,383.7799988,361.5599976,0.994207144,0.999670923,4.952318668,0.484985352,0.654998779,379.9400024,360.0400085,-0.999056399,-0.626591086,0.427333713,-0.072479248,0.123748779,3.839996338,1.519989014,1.993263543,1.626262009,4.524984956,0.5574646,0.53125,1,0,0,0,0
HARV_036,HARV,1.386346839,129.0951127,0.099761794,0.023009833,0.316408855,0.129302152,0.015094849,0.003458812,0.026,0.0046,0.0214,-0.43217851,0.35956945,0.419306768,-1.678721737,2.098028505,0.462816393,0.941537776,0.017520499,1,0.877463275,0.122536725,0.00909211,0.025695489,0.272727273,-0.08045977,0.353187043,0.000172613,0.003084382,0.01115,-0.00915,0.0203,0.657337575,0.038736248,0.80529595,0.490488624,0.314807327,0.098948846,0.020320407,0.153311667,0.034541667,0.11877,0.030685306,0.006438148,0.048297468,0.011239241,0.037058228,0.261257516,0.05059672,0.375430909,0.082144545,0.293286364,29.27312493,387.5,11.0625,2.290406257,1106.25,0.8486875,3.523673728,0.520014277,22.4375,15.625,1.233281251,1475,0.1513125,3.75,7.1875,13.375,19.71875,23.21875,0.140343751,1282.187641,0.046653373,1.625139144,244.6085308,2.839454173,0.608582834,283.9454173,0.098659542,0.936307528,0.191708534,5.715111547,1.408308678,0.327717969,308.7609647,0.098659547,0.516397779,0.946484724,0.939858145,1.328768227,1.328768227,0.046046672,644.0922742,0.010989395,31.10000038,900,18,4.118100166,1800,1,6.335631847,1.094991207,29,18,2.217499971,1800,0.346199989,4.5,8.5,14,21,25,0.240099996,2535.000488,0.059821744,25.45999908,0,6,1.322199941,600,0.653800011,2.034133911,0.289724052,8,13,0.711899996,800,0,3,4,11,17,20,0.080200002,508.0003662,0.022224355,5.640001297,900,12,2.795900226,1200,0.346199989,4.301497936,0.805267155,21,5,1.505599976,1000,0.346199989,1.5,4.5,3,4,5,0.159899995,2027.000122,0.037597388,42.542132,-72.17313,391.8087521,362.5356236,-0.026226499,0.037495136,7.000659883,-0.079769135,0.989768267,2.669891069,1.373207314,0.697683467,0.760046811,0.92863318,0.285579577,0.137994805,395.3599854,364.7000122,0.998730183,0.992515326,9.294633865,0.337493896,1.237506866,386.3999939,360.8299866,-0.999848068,-0.968356133,5.728253841,-0.72253418,0.753749847,8.959991455,3.870025635,1.99857825,1.960871458,3.566380024,1.060028076,0.483757019,1,0,0,0,0
HARV_037,HARV,1.163024311,382.7767206,0.131880241,0.027102618,0.409874574,0.246594502,0.017014531,0.004278743,0.03055,0.0036,0.02695,-0.403756992,0.496564391,1.052077558,-1.815137554,2.867215112,0.435944409,0.918670423,0.022042443,1,0.856700091,0.143299909,-0.002139781,0.02104454,0.137724551,-0.060512025,0.198236576,-0.008665109,0.004158102,0.0016,-0.02085,0.02245,0.564257086,0.057030619,0.715183904,0.435875825,0.279308079,0.098110931,0.027268982,0.177124167,0.024393333,0.152730833,0.031712621,0.008291772,0.054001266,0.007962658,0.046038608,0.263888175,0.071766941,0.472314091,0.063905909,0.408408182,25.37250006,256.25,11.6875,2.596918739,1168.75,0.883718755,3.995252788,0.603417123,15.875,12.3125,1.398324993,1012.5,0.11628125,3.25,6.1875,11.53125,16.65625,19.8125,0.170793748,1893.812069,0.04305004,1.165306548,227.9437065,3.360927451,0.926059656,336.0927451,0.099283364,1.424707762,0.255801306,5.149433626,1.621470526,0.498650502,391.3651322,0.099283357,0.632455532,0.602079729,0.718070331,1.044329929,1.276388133,0.052900351,760.4646889,0.008338021,27.5,800,18,4.045400143,1800,1,6.223743439,1.409199953,20,15,2.178299904,1600,0.347799987,5,8,13,18,22,0.289999992,3553.999023,0.061644908,23.37000084,0,7,1.384199977,700,0.652199984,2.129612923,0.250875771,5,10,0.745400012,400,0,2.5,5,11,15,18,0.080300003,728.000061,0.024870638,4.129999161,800,11,2.661200166,1100,0.347800016,4.094130516,1.158324182,15,5,1.432899892,1200,0.347799987,2.5,3,2,3,4,0.209699988,2825.998962,0.03677427,42.537318,-72.17932,384.0762539,358.7037487,0.112276241,0.055644456,2.617406052,-0.048126221,0.411873817,1.392224484,0.572514119,0.766225376,0.680306008,1.208515473,0.213796733,0.132679635,386.3900146,359.7200012,0.99989444,0.9820171,4.944979191,0.173736572,0.737503052,381.519989,357.7799988,-0.991599619,-0.938168228,0.964732647,-0.39251709,0.213745117,4.870025635,1.940002441,1.99149406,1.920185328,3.980246544,0.566253662,0.523757935,1,0,0,0,0
HARV_038,HARV,1.36916479,378.3485723,0.12964991,0.028406145,0.761674988,0.126037211,0.013089156,0.003477184,0.0275,0.0031,0.0244,-0.796851922,0.35500017,0.069595864,-1.880855213,1.950451077,0.469823447,0.93168777,0.042369173,1,0.655589124,0.344410876,0.0228527,0.024992435,0.172413793,-0.065155807,0.2375696,-0.001688922,0.002365098,0.0074,-0.01105,0.01845,0.638961423,0.054697586,0.790441176,0.374720358,0.415720819,0.078549185,0.020095083,0.13365,0.016901667,0.116748333,0.024940702,0.00606729,0.043121519,0.005196203,0.037925316,0.207737883,0.051716592,0.323143636,0.055256364,0.267887273,25.51066666,113.3333333,14.26666667,3.021366652,1426.666667,0.946613336,4.648240884,0.584202343,13,11.53333333,1.626880002,760,0.053386667,2.933333333,6.266666667,11.33333333,16.6,19.86666667,0.1644,1399.399931,0.045378161,1.865243995,118.7233679,2.987274598,0.636551989,298.7274598,0.058741367,0.979305083,0.197553357,6.644009117,1.846489591,0.342748858,229.2846017,0.05874137,0.319970237,0.457737708,1.08012345,1.594633859,1.995232413,0.057246859,1404.743449,0.010197023,29.23999977,400,21,3.862400055,2100,1,5.942238331,0.977603972,23,15,2.079799891,1200,0.200000003,3.5,7,13.5,20,24,0.310000002,3682,0.062072117,23.86000061,0,10,1.924999952,1000,0.800000012,2.961610556,0.317214996,5,9,1.036599994,300,0,2,6,10,15,18,0.086000003,0,0.030973066,5.379999161,400,11,1.937400103,1100,0.199999988,2.980627775,0.660388976,18,6,1.043199897,900,0.200000003,1.5,1,3.5,5,6,0.223999999,3682,0.031099051,42.537345,-72.177876,386.6793315,361.1686686,0.066057335,-0.079378705,1.639478493,0.003387451,0.253626633,2.116611413,0.365999348,0.641091399,0.802678617,0.431208716,0.131398205,0.063618849,390.8299866,361.6900024,0.97200799,0.98853755,2.236310244,0.262512207,0.311248779,384.6400146,360.4700012,-0.998612225,-0.999472797,0.67605716,-0.1875,0.131252289,6.189971924,1.220001221,1.970620215,1.988010347,1.560253084,0.450012207,0.17999649,1,0,0,0,0
HARV_039,HARV,0.835836309,159.1936069,0.069062911,0.08491131,0.376856678,0.349775137,0.020083531,0.005121315,0.0605,0.0075,0.053,-0.164229942,0.59139573,1.223578338,-1.715541462,2.9391198,0.466713273,0.919599565,0.041501522,1,0.546782044,0.453217956,0.009534545,0.020501433,0.118881119,-0.062780269,0.181661388,-0.005124953,0.004566723,0.00775,-0.0213,0.02905,0.63746322,0.062400434,0.753880266,0.307392996,0.44648727,0.118933649,0.032520782,0.210255833,0.039966667,0.170289167,0.038464493,0.009602367,0.086783544,0.014041772,0.072741772,0.296143382,0.086935211,0.487631364,0.071374545,0.416256818,25.87937486,200,10.0625,1.68798124,1006.25,0.910175003,2.596876524,0.401727462,21.5,13.875,0.908899996,1243.75,0.089825,2.875,6.25,11.8125,17.1875,20.5,0.108743751,936.4375629,0.023746867,0.714809581,182.5741858,3.043435559,0.230916134,304.3435559,0.082781268,0.355267429,0.094102727,5.006662228,1.204159458,0.124336921,298.8171124,0.082781268,0.288675135,0.316227766,0.478713554,0.512347538,0.730296743,0.020256686,294.6844242,0.00604677,27.14999962,600,17,1.989500046,1700,1,3.060720921,0.603846371,25,15,1.071200013,1600,0.272700012,3,7,12.5,18,22,0.155300006,1504.000488,0.038095441,24.96999931,0,6,1.233399987,600,0.727299988,1.89747417,0.287896633,7,11,0.664099991,600,0,2,6,11,16,19,0.072300002,491,0.015876092,2.180000305,600,11,0.756100059,1100,0.272700012,1.163246751,0.315949738,18,4,0.407100022,1000,0.272700012,1,1,1.5,2,3,0.083000004,1013.000488,0.022219349,42.533244,-72.177698,398.6293736,372.75,-0.311607933,-0.250407284,3.118399829,-0.005550385,0.449142218,1.11028165,0.636459332,0.697007972,0.640616663,0.932604138,0.175526459,0.107973228,400.25,374.1000061,0.998581767,0.957673252,4.577031612,0.291259766,0.611248016,396.9200134,371.8399963,-0.999994636,-0.982744813,1.450070024,-0.318786621,0.225002289,3.329986572,2.260009766,1.998576403,1.940418065,3.126961589,0.610046387,0.386245728,1,0,0,0,0
HARV_041,HARV,1.792503703,383.9414732,0.119488762,0.023569832,0.716065792,0.173930041,0.012570563,0.003802756,0.0259,0.0033,0.0226,-0.735874018,0.41703187,0.404954469,-1.832030921,2.23698539,0.455980732,0.921434478,0.023732296,0.991084695,0.842866535,0.14821816,0.009905763,0.025467927,0.121771218,-0.062209842,0.18398106,-0.004730438,0.00311557,0.0067,-0.01425,0.02095,0.582853897,0.054308342,0.730136342,0.439013453,0.291122889,0.078528665,0.024301971,0.148848333,0.022061667,0.126786667,0.024146502,0.00734584,0.047831646,0.007070886,0.040760759,0.217980255,0.058820728,0.372878182,0.060251818,0.312626364,25.49374998,400,11.25,2.320268765,1125,0.820337497,3.569641992,0.480600556,17.1875,11.9375,1.249375012,1075,0.179662501,3.09375,5.6875,11.5,16.78125,19.90625,0.152137502,3310.062454,0.034164896,3.178307583,189.7366596,2.594866727,0.483721351,259.4866727,0.077759227,0.744210292,0.081906756,3.600347205,1.913765921,0.260486962,226.5686062,0.077759235,0.638194067,1.276388133,1.570562532,2.421905242,3.045317444,0.031893068,1195.737502,0.008392678,29.85000038,800,16,3.539799929,1600,0.9375,5.445913315,0.647889853,24,15,1.906100035,1400,0.307700008,4,7,14,20,23.5,0.228499994,6075.000488,0.049562436,19.29999924,100,7,1.813699961,700,0.692300022,2.790284634,0.361261874,11,8,0.976599991,700,0.0625,2,3,8.5,12,14,0.107900001,1372.999756,0.018033266,10.55000114,700,9,1.726099968,900,0.245199978,2.655628681,0.286627978,13,7,0.929500043,700,0.245200008,2,4,5.5,8,9.5,0.120599993,4702.000732,0.03152917,42.536803,-72.180802,384.2868748,358.7931232,-0.107929003,-0.19288892,2.558932994,0.014762878,0.393829107,3.477254274,0.603375159,0.609333152,0.802039895,0.852511511,0.229621914,0.104587731,388.6600037,359.9599915,0.999734879,0.997849226,4.304395676,0.318756104,0.627502441,377.2099915,357.9100037,-0.996840537,-0.98456049,0.921846092,-0.347503662,0.178752899,11.45001221,2.049987793,1.996575415,1.982409716,3.382549584,0.666259766,0.448749542,1,0,0,0,0
HARV_042,HARV,1.021842612,357.2735081,0.091911233,0.035050786,0.397639731,0.266221124,0.01716325,0.005221083,0.0304,0.0031,0.0273,-0.362189443,0.515939788,0.868701325,-1.717270226,2.585971551,0.428116362,0.931121668,0.019829945,1,0.793768546,0.206231454,0.009463289,0.020198787,0.11627907,-0.054263566,0.170542636,-0.005900688,0.003964777,0.0036,-0.01865,0.02225,0.633027531,0.039349786,0.786432161,0.469578783,0.316853378,0.104800307,0.031873703,0.18068,0.029851667,0.150828333,0.033762057,0.010227085,0.060097468,0.009078481,0.051018987,0.268434068,0.07206674,0.439499091,0.077973636,0.361525455,25.50062501,337.5,11.625,1.983181261,1162.5,0.846618749,3.051041588,0.520827734,20.375,13.5625,1.067868743,1037.5,0.153381252,3.25,6.15625,11.4375,16.75,20,0.1459875,1577.124809,0.042673912,1.503925704,215.6385865,3.15964133,0.430979615,315.964133,0.099556893,0.663040564,0.160210295,5.536244214,1.631716887,0.232070209,307.408523,0.099556896,0.516397779,0.925900463,0.62915287,1.064581295,1.414213562,0.040279437,614.1453183,0.018974612,28.92000008,800,16,2.880100012,1600,1,4.43087101,0.863191962,24,16,1.550799966,1500,0.381000012,4.5,7.5,12.5,19,23,0.241799995,3000.999756,0.085393794,23.48999977,0,7,1.363399982,700,0.619000018,2.097473621,0.225285485,5,10,0.734099984,500,0,2.5,4,10.5,15,18,0.073899999,470.9995117,0.021331666,5.430000305,800,9,1.516700029,900,0.380999982,2.333397388,0.637906477,19,6,0.816699982,1000,0.381000012,2,3.5,2,4,5,0.167899996,2530.000244,0.064062128,42.53418,-72.176562,393.4649982,367.9643745,-0.25909081,0.160047057,2.22280737,-0.064531326,0.329062462,1.485612785,0.439088081,0.657302573,0.731911195,0.530296638,0.169350814,0.07433266,397,368.6799927,0.997022152,0.999837279,3.087815046,0.174987793,0.441253662,391.3099976,367.2799988,-0.993197978,-0.923813343,1.412935138,-0.388763428,0.203754425,5.690002441,1.399993896,1.990220129,1.923650622,1.674879909,0.563751221,0.237499237,1,0,0,0,0
HARV_043,HARV,1.311673562,176.2430216,0.100461105,0.03113297,1.258901829,0.113441009,0.010932478,0.003279439,0.031,0.0022,0.0288,-1.069768402,0.336794083,-0.332962186,-2.050351275,1.717389089,0.44670006,0.929533401,0.038278131,1,0.516759777,0.483240223,0.014603932,0.034077829,0.306122449,-0.272727273,0.578849722,-0.002904161,0.002386304,0.00435,-0.009,0.01335,0.603468366,0.055651021,0.76203966,0.240572172,0.521467488,0.064726342,0.018995935,0.112495,0.015023333,0.097471667,0.021185968,0.006005851,0.045940506,0.005879747,0.040060759,0.166730418,0.048271733,0.268644545,0.025614545,0.24303,25.24250007,437.5,10.0625,2.048231244,1006.25,0.800949994,3.151117697,0.494834255,18.1875,12.5,1.102893755,1162.5,0.19905,2.9375,5.6875,11.25,16.5625,19.6875,0.1443375,1896.93782,0.050127679,1.794404501,255.2776266,2.434988022,0.588512173,243.4988022,0.108886456,0.9053973,0.132897743,3.70978436,1.211060142,0.316888973,199.5828984,0.108886454,0.680073525,1.01447852,1.064581295,1.388944443,1.887458609,0.039953487,1144.274261,0.02209011,28.87000084,900,16,3.460999966,1600,0.956499994,5.324576378,0.71202451,22,14,1.863600016,1500,0.375,4.5,7,13,19,23,0.2333,3265.000732,0.124401525,22,100,7,1.051800013,700,0.625,1.618100643,0.257027119,10,10,0.566299975,800,0.043499999,2,3.5,9,14,16,0.073700003,0,0.030421579,6.870000839,800,9,2.409199953,900,0.331499994,3.706475735,0.454997391,12,4,1.297300041,700,0.331500001,2.5,3.5,4,5,7,0.159599997,3265.000732,0.093979945,42.541039,-72.17658,377.0206261,351.7781258,-0.024601526,0.039289447,4.92662023,-0.030379075,0.707688552,1.702337116,0.971624211,0.724840288,0.734153301,1.498625725,0.40800811,0.187669575,380.3900146,353.2999878,0.998124719,0.981904149,7.403041363,0.797515869,0.967494965,374.4599915,349.6900024,-0.999401093,-0.993731618,2.027395964,-0.528747559,0.331237793,5.930023193,3.609985352,1.997525811,1.975635767,5.375645399,1.326263428,0.636257172,1,0,0,0,0
