"namedLocation","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","nlcdClass","eventID","plotType","plotID","subplotID","boutNumber","targetTaxaPresent","taxonID","scientificName","taxonRank","family","nativeStatusCode","identificationQualifier","morphospeciesID","samplingImpractical","samplingImpracticalRemarks","biophysicalCriteria","publicationDate","release","year","totalSampledArea"
"MLBS_063.basePlot.div","D07","MLBS",37.377486,-80.527932,"WGS84",20.27,1175.7,0.4,"deciduousForest","MLBS.1.2023","tower","MLBS_063","32_1_4",1,"Y","ACRU","Acer rubrum L.","species","Aceraceae","N",NA,NA,"OK",NA,"OK - no known exceptions","20241118T104408Z","RELEASE-2025","2023",1
"MLBS_063.basePlot.div","D07","MLBS",37.377486,-80.527932,"WGS84",20.27,1175.7,0.4,"deciduousForest","MLBS.1.2023","tower","MLBS_063","41_1_4",1,"Y","VAPA4","Vaccinium pallidum Aiton","species","Ericaceae","N",NA,NA,"OK",NA,"OK - no known exceptions","20241118T104408Z","RELEASE-2025","2023",1
"MLBS_063.basePlot.div","D07","MLBS",37.377486,-80.527932,"WGS84",20.27,1175.7,0.4,"deciduousForest","MLBS.1.2023","tower","MLBS_063","32_1_4",1,"Y","AMMU","Amianthium muscitoxicum (Walter) A. Gray","species","Liliaceae","N",NA,NA,"OK",NA,"OK - no known exceptions","20241118T104408Z","RELEASE-2025","2023",1
"MLBS_063.basePlot.div","D07","MLBS",37.377486,-80.527932,"WGS84",20.27,1175.7,0.4,"deciduousForest","MLBS.1.2023","tower","MLBS_063","31_1_1",1,"Y","AMLA","Amelanchier laevis Wiegand","species","Rosaceae","N",NA,NA,"OK",NA,"OK - no known exceptions","20241118T104408Z","RELEASE-2025","2023",1
"MLBS_063.basePlot.div","D07","MLBS",37.377486,-80.527932,"WGS84",20.27,1175.7,0.4,"deciduousForest","MLBS.1.2023","tower","MLBS_063","31_1_1",1,"Y","RUAL","Rubus allegheniensis Porter","species","Rosaceae","N",NA,NA,"OK",NA,"OK - no known exceptions","20241118T104408Z","RELEASE-2025","2023",1
"MLBS_063.basePlot.div","D07","MLBS",37.377486,-80.527932,"WGS84",20.27,1175.7,0.4,"deciduousForest","MLBS.1.2023","tower","MLBS_063","40_1_3",1,"Y","PRSE2","Prunus serotina Ehrh.","species","Rosaceae","N",NA,NA,"OK",NA,"OK - no known exceptions","20241118T104408Z","RELEASE-2025","2023",1
"MLBS_063.basePlot.div","D07","MLBS",37.377486,-80.527932,"WGS84",20.27,1175.7,0.4,"deciduousForest","MLBS.1.2023","tower","MLBS_063","41_1_4",1,"Y","OCAC","Oclemena acuminata (Michx.) Greene","species","Asteraceae","N",NA,NA,"OK",NA,"OK - no known exceptions","20241118T104408Z","RELEASE-2025","2023",1
"MLBS_063.basePlot.div","D07","MLBS",37.377486,-80.527932,"WGS84",20.27,1175.7,0.4,"deciduousForest","MLBS.1.2023","tower","MLBS_063","40_1_3",1,"Y","MACA4","Maianthemum canadense Desf.","species","Liliaceae","N",NA,NA,"OK",NA,"OK - no known exceptions","20241118T104408Z","RELEASE-2025","2023",1
"MLBS_063.basePlot.div","D07","MLBS",37.377486,-80.527932,"WGS84",20.27,1175.7,0.4,"deciduousForest","MLBS.1.2023","tower","MLBS_063","40_1_3",1,"Y","ILMO","Ilex montana Torr. & A. Gray ex A. Gray","species","Aquifoliaceae","N",NA,NA,"OK",NA,"OK - no known exceptions","20241118T104408Z","RELEASE-2025","2023",1
"MLBS_063.basePlot.div","D07","MLBS",37.377486,-80.527932,"WGS84",20.27,1175.7,0.4,"deciduousForest","MLBS.1.2023","tower","MLBS_063","31_1_1",1,"Y","DIVI4","Dioscorea villosa L.","species","Dioscoreaceae","N",NA,NA,"OK",NA,"OK - no known exceptions","20241118T104408Z","RELEASE-2025","2023",1
