"domainID","siteID","year","boutNumber","plotID","totalSampledArea","plotAlphaDiversity","plotGammaDiversity","plotBetaDiversity"
"D07","MLBS","2023",1,"MLBS_001",1,8.5,45,5.29411764705882
"D07","MLBS","2023",1,"MLBS_001",10,16.8333333333333,45,2.67326732673267
"D07","MLBS","2023",1,"MLBS_001",100,28.75,45,1.56521739130435
"D07","MLBS","2023",1,"MLBS_001",400,45,45,1
"D07","MLBS","2023",1,"MLBS_002",1,9,54,6
"D07","MLBS","2023",1,"MLBS_002",10,16.8333333333333,54,3.20792079207921
"D07","MLBS","2023",1,"MLBS_002",100,32.75,54,1.64885496183206
"D07","MLBS","2023",1,"MLBS_002",400,54,54,1
"D07","MLBS","2023",1,"MLBS_003",1,5.33333333333333,41,7.6875
"D07","MLBS","2023",1,"MLBS_003",10,11.6666666666667,41,3.51428571428571
"D07","MLBS","2023",1,"MLBS_003",100,25.5,41,1.6078431372549
"D07","MLBS","2023",1,"MLBS_003",400,41,41,1
"D07","MLBS","2023",1,"MLBS_004",1,8.33333333333333,62,7.44
"D07","MLBS","2023",1,"MLBS_004",10,18.8333333333333,62,3.29203539823009
"D07","MLBS","2023",1,"MLBS_004",100,40.25,62,1.54037267080745
"D07","MLBS","2023",1,"MLBS_004",400,62,62,1
"D07","MLBS","2023",1,"MLBS_005",1,8.5,40,4.70588235294118
"D07","MLBS","2023",1,"MLBS_005",10,13.6666666666667,40,2.92682926829268
"D07","MLBS","2023",1,"MLBS_005",100,28.25,40,1.41592920353982
"D07","MLBS","2023",1,"MLBS_005",400,40,40,1
"D07","MLBS","2023",1,"MLBS_006",1,22.8333333333333,106,4.64233576642336
"D07","MLBS","2023",1,"MLBS_006",10,40.8333333333333,106,2.59591836734694
"D07","MLBS","2023",1,"MLBS_006",100,69.5,106,1.52517985611511
"D07","MLBS","2023",1,"MLBS_006",400,106,106,1
"D07","MLBS","2023",1,"MLBS_007",1,11.3333333333333,72,6.35294117647059
"D07","MLBS","2023",1,"MLBS_007",10,21.3333333333333,72,3.375
"D07","MLBS","2023",1,"MLBS_007",100,43.75,72,1.64571428571429
"D07","MLBS","2023",1,"MLBS_007",400,72,72,1
"D07","MLBS","2023",1,"MLBS_008",1,10.1666666666667,66,6.49180327868852
"D07","MLBS","2023",1,"MLBS_008",10,22.6666666666667,66,2.91176470588235
"D07","MLBS","2023",1,"MLBS_008",100,42.25,66,1.56213017751479
"D07","MLBS","2023",1,"MLBS_008",400,66,66,1
