label,Weight
ABO.1.1,2.544
ABO.1.2,2.442
ABO.2.1,2.075
ABO.2.2,2.416
ABO.3.1,1.493
ABO.3.2,1.636
ARM.1.1,1.975
ARM.1.2,2.218
ARM.2.1,0.709
ARM.2.2,0.964
ARM.3.1,1.604
ARM.3.2,1.147
ASM.1.1,1.782
ASM.1.2,2.068
ASM.2.1,0.932
ASM.2.2,2.584
ASM.3.1,2.055
ASM.3.2,1.09
AWO.1.1,1.635
AWO.1.2,0.544
AWO.2.1,0.908
AWO.2.2,0.746
AWO.3.1,2.292
AWO.3.2,1.713
BBO.1.1,2.365
BBO.1.2,2.148
BBO.2.1,1.926
BBO.2.2,2.161
BBO.3.1,1.455
BBO.3.2,1.491
BRM.1.1,1.855
BRM.1.2,1.854
BRM.2.1,0.672
BRM.2.2,0.8
BRM.3.1,1.534
BRM.3.2,0.982
BSM.1.1,1.713
BSM.1.2,1.672
BSM.2.1,0.923
BSM.2.2,2.054
BSM.3.1,1.982
BSM.3.2,0.889
BWO.1.1,1.527
BWO.1.2,0.454
BWO.2.1,0.835
BWO.2.2,0.667
BWO.3.1,2.146
BWO.3.2,1.509
CBO.1.1,2.29
CBO.1.2,2.035
CBO.2.1,1.855
CBO.2.2,2.016
CBO.3.1,1.397
CBO.3.2,1.381
CRM.1.1,1.746
CRM.1.2,1.621
CRM.2.1,0.636
CRM.2.2,0.694
CRM.3.1,1.473
CRM.3.2,0.818
CSM.1.1,1.653
CSM.1.2,1.527
CSM.2.1,0.889
CSM.2.2,1.875
CSM.3.1,1.909
CSM.3.2,0.784
CWO.1.1,1.455
CWO.1.2,0.396
CWO.2.1,0.801
CWO.2.2,0.584
CWO.3.1,2.09
CWO.3.2,1.399
DBO.1.1,2.112
DBO.1.2,1.781
DBO.2.1,1.708
DBO.2.2,1.724
DBO.3.1,1.277
DBO.3.2,1.072
DRM.1.1,1.494
DRM.1.2,1.052
DRM.2.1,0.564
DRM.2.2,0.471
DRM.3.1,1.291
DRM.3.2,0.508
DSM.1.1,1.511
DSM.1.2,1.237
DSM.2.1,0.838
DSM.2.2,1.492
DSM.3.1,1.746
DSM.3.2,0.579
DWO.1.1,1.274
DWO.1.2,0.254
DWO.2.1,0.714
DWO.2.2,0.4
DWO.3.1,1.908
DWO.3.2,1.126
